iter	RMSE
0	13.52212138
1	13.10839481
2	12.66703557
3	12.28360353
4	11.89419451
5	11.51066918
6	11.12507602
7	10.75593356
8	10.41312414
9	10.08281013
10	9.761687127
11	9.438693774
12	9.148258752
13	8.850857643
14	8.57833229
15	8.295051858
16	8.055341648
17	7.814623858
18	7.56290598
19	7.334395883
20	7.1053851
21	6.896504465
22	6.696614315
23	6.493204277
24	6.297731301
25	6.096836232
26	5.917121973
27	5.732365704
28	5.563412303
29	5.390239179
30	5.225543408
31	5.057523358
32	4.915103785
33	4.760184075
34	4.611237945
35	4.485227485
36	4.356401474
37	4.224339212
38	4.094983909
39	3.981001872
40	3.869397418
41	3.755988351
42	3.64395114
43	3.536241499
44	3.435704685
45	3.330994939
46	3.22834207
47	3.130305191
48	3.040801233
49	2.957075242
50	2.875387841
51	2.789514581
52	2.712032952
53	2.638529703
54	2.562873701
55	2.496469232
56	2.429561276
57	2.36499024
58	2.301156738
59	2.237141371
60	2.177853426
61	2.118772218
62	2.066972771
63	2.015038125
64	1.959160431
65	1.907072703
66	1.858697826
67	1.813066927
68	1.763494841
69	1.718685337
70	1.674428465
71	1.63436857
72	1.598853687
73	1.556481193
74	1.519344236
75	1.480520252
76	1.442250248
77	1.4088322
78	1.377239128
79	1.349137685
80	1.316804174
81	1.289395798
82	1.259174683
83	1.231951215
84	1.206154624
85	1.179210528
86	1.157975202
87	1.135564887
88	1.111422335
89	1.09051612
90	1.069212996
91	1.047962379
92	1.027230423
93	1.008433547
94	0.9914163485
95	0.9756318248
96	0.9565042033
97	0.9402244957
98	0.9239960328
99	0.9076694212
100	0.8906355835
101	0.8762864724
102	0.8613413216
103	0.8496028412
104	0.8388874265
105	0.8273244231
106	0.81564512
107	0.8042725849
108	0.7916435743
109	0.7813922362
110	0.7718343274
111	0.7610004006
112	0.7576743892
113	0.7475233225
114	0.7442219395
115	0.7391769945
116	0.729283621
117	0.7264004027
118	0.7237760112
119	0.7177570063
120	0.7150838956
121	0.7063046514
122	0.7030963974
123	0.6984830621
124	0.6899687313
125	0.682245838
126	0.6797344101
127	0.6723868531
128	0.6678512349
129	0.6622735493
130	0.6560538687
131	0.6520850324
132	0.646608701
133	0.6445236765
134	0.642414859
135	0.6402456536
136	0.6382609159
137	0.6358144475
138	0.6297816759
139	0.6275950272
140	0.6219621463
141	0.6159314136
142	0.6099856945
143	0.6080637146
144	0.6062399812
145	0.6033766263
146	0.6011513153
147	0.595977864
148	0.5942349807
149	0.5922794511
150	0.5897626399
151	0.5856403729
152	0.5803982601
153	0.5788435582
154	0.5760102534
155	0.5713113665
156	0.5696559051
157	0.5648624163
158	0.5630972064
159	0.5614517692
160	0.5575184335
161	0.556216716
162	0.5547989692
163	0.5534665909
164	0.5519344263
165	0.5493624018
166	0.5450736001
167	0.5434784734
168	0.5393189015
169	0.5381063423
170	0.5361284851
171	0.534955649
172	0.5337487474
173	0.5321978962
174	0.5282546346
175	0.5268501482
176	0.5245690537
177	0.5226924598
178	0.5215697949
179	0.5205409334
180	0.5143957694
181	0.5133760619
182	0.5095138785
183	0.5085404423
184	0.5075444371
185	0.5059990895
186	0.505078115
187	0.5041537775
188	0.5032651122
189	0.4993562815
190	0.4953611475
191	0.4945106641
192	0.4935728919
193	0.4904262332
194	0.4888243296
195	0.4844676843
196	0.4835479523
197	0.4787561937
198	0.4757541795
199	0.474675984
200	0.473648868
201	0.470774805
202	0.469498049
203	0.4686257526
204	0.4674803235
205	0.4648449353
206	0.4641510387
207	0.4615911923
208	0.460954711
209	0.4572764263
210	0.4565188091
211	0.4557671169
212	0.4524026851
213	0.4517371046
214	0.4510877041
215	0.4505172886
216	0.4497828888
217	0.449207115
218	0.4481356325
219	0.4460967706
220	0.4455611318
221	0.4434219669
222	0.4417705812
223	0.4412696763
224	0.4385233702
225	0.4376790674
226	0.4343125131
227	0.4336642347
228	0.4331418062
229	0.4306978867
230	0.4292931538
231	0.4288574093
232	0.4284305397
233	0.4280115673
234	0.4249083219
235	0.4225739005
236	0.4221546733
237	0.4214967287
238	0.4211108255
239	0.4204404297
240	0.4199102585
241	0.4195453795
242	0.4178112857
243	0.4174585487
244	0.4171123904
245	0.416682801
246	0.4139378317
247	0.4136083677
248	0.4125406568
249	0.4104956478
250	0.4099993124
251	0.4096916446
252	0.4093897435
253	0.4068277049
254	0.4049318041
255	0.4031888872
256	0.4014888042
257	0.4012090563
258	0.3993372915
259	0.3990671312
260	0.3988020555
261	0.396402283
262	0.3961453247
263	0.3958932103
264	0.3956458511
265	0.3933709044
266	0.3931312095
267	0.3918305372
268	0.3891276861
269	0.3876314446
270	0.386300667
271	0.3860785912
272	0.3858607193
273	0.3848009873
274	0.3834340133
275	0.3832049447
276	0.3830016469
277	0.3819245631
278	0.3797922257
279	0.3777867541
280	0.3774860591
281	0.377298379
282	0.3762249312
283	0.3751994255
284	0.3733732591
285	0.3718594278
286	0.3716866278
287	0.3715171184
288	0.371350838
289	0.3697479474
290	0.3681399837
291	0.3672037669
292	0.3670478844
293	0.3668949766
294	0.3660799613
295	0.36586036
296	0.364645311
297	0.3634305156
298	0.362369191
299	0.3614575275
300	0.3612600668
301	0.3610805684
302	0.360353197
303	0.3600260237
304	0.359819642
305	0.3596584111
306	0.3586146581
307	0.3578187565
308	0.3569975078
309	0.3568412733
310	0.3562205102
311	0.3545945492
312	0.3544494123
313	0.3543032306
314	0.3536504089
315	0.3524562319
316	0.3509762383
317	0.3500114017
318	0.3493534346
319	0.3492223453
320	0.3485379908
321	0.3484139946
322	0.3482929666
323	0.3481360049
324	0.3472596562
325	0.3471456142
326	0.3468426433
327	0.3453217783
328	0.3442128725
329	0.3440839343
330	0.3439584352
331	0.3436196004
332	0.3428096244
333	0.3415424518
334	0.3414638366
335	0.3408974717
336	0.3407874763
337	0.3407111768
338	0.3394420621
339	0.3390013874
340	0.3388996546
341	0.3377354413
342	0.3376470453
343	0.3369030278
344	0.336837709
345	0.3361178688
346	0.3359935639
347	0.3359314155
348	0.3353819089
349	0.3347339342
350	0.334650049
351	0.3345925116
352	0.3336173254
353	0.3331606674
354	0.3330762098
355	0.331868343
356	0.3317978271
357	0.330929809
358	0.3308541705
359	0.3307865512
360	0.3306837163
361	0.3296652521
362	0.3295874978
363	0.3293989523
364	0.3282071824
365	0.3271096359
366	0.3270499772
367	0.325881531
368	0.325341166
369	0.3252778708
370	0.3252158385
371	0.3251550503
372	0.3246797936
373	0.3238973641
374	0.3231577413
375	0.3230995854
376	0.3226831245
377	0.3221374189
378	0.321647571
379	0.3216110238
380	0.3215477896
381	0.3202880705
382	0.319893524
383	0.3192427966
384	0.318188846
385	0.3175978721
386	0.316545698
387	0.3160867292
388	0.3149979365
389	0.3145697445
390	0.3137193617
391	0.3125784585
392	0.3123385706
393	0.3120025193
394	0.3115701701
395	0.3110233788
396	0.3105597791
397	0.3102225044
398	0.3094531375
399	0.3087838396
400	0.3077640505
401	0.3070492262
402	0.3064080834
403	0.3059802927
404	0.3055498404
405	0.3050776013
406	0.3044064441
407	0.3036863927
408	0.3032276202
409	0.3029220768
410	0.3025421993
411	0.3022959111
412	0.3017694164
413	0.3015131535
414	0.3011202875
415	0.3005503501
416	0.2999374416
417	0.2991282431
418	0.2980884741
419	0.2972959756
420	0.2962894757
421	0.2958819353
422	0.2956806767
423	0.2954845899
424	0.2954359203
425	0.2951986514
426	0.2945668072
427	0.2940550877
428	0.2938669912
429	0.2932661402
430	0.2926832711
431	0.2917248654
432	0.2915033679
433	0.290999731
434	0.2900383594
435	0.2896715163
436	0.2893561743
437	0.288729677
438	0.2885554413
439	0.2880397765
440	0.2878420895
441	0.2874765866
442	0.2868541333
443	0.2862284896
444	0.2857898357
445	0.2849804329
446	0.2844398217
447	0.2840292041
448	0.283718194
449	0.2828373178
450	0.2820747183
451	0.2812683676
452	0.2806687619
453	0.2801778594
454	0.2797813805
455	0.2793185021
456	0.2789898445
457	0.278819425
458	0.2785906752
459	0.2782871963
460	0.2774331191
461	0.2767643273
462	0.2765597184
463	0.2756301186
464	0.2752266218
465	0.2749949838
466	0.274108801
467	0.2737329948
468	0.2730895734
469	0.2724118293
470	0.2722464406
471	0.2716739235
472	0.2713245351
473	0.2710537193
474	0.2708593219
475	0.2700935858
476	0.2696291398
477	0.2690995995
478	0.2689104111
479	0.2685423836
480	0.2677769517
481	0.2675193242
482	0.2670533226
483	0.2663497456
484	0.2661993694
485	0.2658268436
486	0.2656887027
487	0.2652834623
488	0.2646619383
489	0.2642485115
490	0.2638513142
491	0.2637197604
492	0.263047351
493	0.2625127226
494	0.2620467308
495	0.2615174087
496	0.2611708157
497	0.2610291902
498	0.2603705713
499	0.2596009033
500	0.2590753183
501	0.2585238296
502	0.258048539
503	0.2577122235
504	0.257090687
505	0.2569181432
506	0.2562475995
507	0.2558390352
508	0.2557079374
509	0.2555066374
510	0.25491455
511	0.2546287829
512	0.254030024
513	0.2535688538
514	0.2528950141
515	0.2526615242
516	0.2523771163
517	0.251665892
518	0.2509366143
519	0.2506517847
520	0.2499767851
521	0.2494205438
522	0.2493574969
523	0.2488424347
524	0.2482663861
525	0.2475755149
526	0.2472038975
527	0.2470547008
528	0.2467935346
529	0.2465252411
