iter	Passed	Remaining
0	2	2684
1	4	2203
2	6	2035
3	8	2116
4	10	2030
5	11	1981
6	13	1966
7	16	2027
8	19	2101
9	20	2058
10	22	2037
11	25	2113
12	27	2092
13	29	2068
14	31	2046
15	32	2018
16	34	1998
17	36	1982
18	38	1969
19	40	2004
20	42	1989
21	44	1985
22	46	1977
23	48	1965
24	50	1954
25	51	1940
26	53	1940
27	55	1935
28	57	1923
29	59	1913
30	60	1900
31	62	1890
32	64	1880
33	65	1868
34	67	1855
35	69	1850
36	71	1848
37	73	1848
38	74	1841
39	76	1833
40	78	1826
41	79	1821
42	81	1813
43	83	1804
44	84	1800
45	86	1798
46	88	1790
47	89	1781
48	91	1777
49	93	1772
50	94	1763
51	96	1753
52	97	1743
53	99	1738
54	101	1737
55	102	1730
56	104	1725
57	105	1718
58	107	1710
59	108	1702
60	110	1696
61	111	1689
62	113	1682
63	115	1682
64	116	1681
65	118	1681
66	120	1675
67	121	1671
68	123	1666
69	124	1660
70	126	1654
71	128	1649
72	129	1646
73	131	1645
74	133	1642
75	134	1638
76	136	1633
77	137	1629
78	139	1624
79	140	1619
80	142	1615
81	143	1610
82	145	1610
83	147	1610
84	149	1605
85	150	1600
86	152	1596
87	153	1592
88	155	1587
89	156	1584
90	158	1580
91	159	1578
92	161	1578
93	163	1576
94	165	1574
95	166	1570
96	168	1567
97	169	1564
98	171	1560
99	173	1558
100	174	1555
101	176	1554
102	178	1550
103	179	1546
104	181	1542
105	182	1538
106	183	1534
107	185	1529
108	186	1526
109	188	1521
110	189	1517
111	191	1515
112	192	1513
113	194	1509
114	195	1505
115	196	1500
116	198	1497
117	199	1489
118	200	1482
119	201	1479
120	202	1469
121	203	1465
122	205	1462
123	206	1461
124	208	1458
125	209	1455
126	211	1452
127	212	1448
128	214	1445
129	215	1441
130	216	1438
131	218	1434
132	219	1431
133	220	1423
134	220	1415
135	222	1410
136	222	1404
137	224	1401
138	225	1398
139	226	1391
140	227	1388
141	229	1385
142	230	1382
143	231	1377
144	232	1372
145	234	1369
146	235	1364
147	236	1363
148	237	1357
149	239	1354
150	240	1352
151	242	1350
152	243	1348
153	244	1342
154	245	1339
155	247	1337
156	247	1331
157	249	1328
158	250	1326
159	252	1325
160	253	1322
161	254	1317
162	256	1315
163	257	1310
164	258	1307
165	259	1305
166	261	1303
167	262	1300
168	264	1298
169	264	1292
170	266	1290
171	266	1285
172	268	1281
173	269	1277
174	271	1278
175	272	1277
176	274	1275
177	275	1272
178	276	1267
179	277	1262
180	278	1260
181	279	1256
182	280	1254
183	282	1250
184	283	1247
185	284	1246
186	285	1241
187	286	1238
188	287	1232
189	288	1231
190	290	1229
191	290	1224
192	292	1221
193	293	1219
194	295	1218
195	296	1216
196	298	1215
197	299	1214
198	301	1212
199	302	1210
200	303	1206
201	304	1204
202	306	1202
203	307	1199
204	308	1197
205	310	1195
206	311	1191
207	313	1192
208	313	1187
209	315	1186
210	316	1182
211	317	1178
212	318	1176
213	319	1175
214	321	1173
215	321	1168
216	323	1167
217	324	1162
218	325	1161
219	327	1160
220	328	1158
221	330	1157
222	331	1156
223	332	1152
224	334	1151
225	335	1149
226	337	1148
227	338	1147
228	340	1146
229	342	1146
230	344	1145
231	344	1141
232	345	1137
233	346	1133
234	347	1131
235	349	1129
236	349	1126
237	351	1124
238	351	1120
239	353	1118
240	354	1116
241	355	1112
242	356	1111
243	357	1108
244	358	1104
245	359	1103
246	361	1102
247	362	1098
248	363	1097
249	365	1096
250	366	1094
251	367	1090
252	368	1086
253	369	1085
254	371	1084
255	372	1083
256	374	1082
257	374	1078
258	376	1076
259	376	1072
260	377	1068
261	378	1067
262	379	1063
263	380	1060
264	380	1056
265	382	1054
266	382	1051
267	384	1049
268	385	1048
269	387	1048
270	389	1046
271	389	1043
272	390	1039
273	391	1038
274	393	1036
275	393	1033
276	394	1029
277	395	1028
278	397	1026
279	398	1025
280	400	1023
281	400	1020
282	402	1019
283	403	1018
284	405	1016
285	406	1015
286	407	1011
287	407	1008
288	408	1005
289	410	1003
290	411	1002
291	413	1001
292	413	998
293	414	995
294	416	994
295	418	995
296	420	994
297	421	993
298	423	992
299	424	991
300	426	989
301	427	988
302	429	986
303	430	985
304	432	984
305	433	983
306	435	982
307	436	981
308	438	979
309	439	978
310	441	977
311	442	976
312	444	975
313	445	973
314	447	972
315	448	971
316	450	970
317	452	969
318	453	968
319	455	967
320	456	966
321	458	964
322	459	963
323	460	960
324	462	959
325	463	958
326	465	957
327	466	955
328	467	954
329	468	952
330	470	949
331	471	948
332	473	947
333	474	946
334	475	943
335	476	942
336	478	941
337	478	938
338	480	936
339	481	935
340	482	933
341	484	932
342	485	929
343	486	928
344	487	925
345	489	924
346	490	923
347	491	921
348	493	920
349	495	919
350	496	918
351	497	915
352	499	914
353	500	913
354	501	911
355	503	910
356	504	909
357	506	908
358	507	906
359	509	905
360	510	904
361	512	902
362	513	900
363	514	899
364	516	898
365	517	897
366	519	895
367	520	894
368	522	893
369	523	891
370	525	890
371	526	888
372	528	887
373	529	886
374	531	885
375	532	883
376	533	882
377	535	881
378	536	879
379	538	877
380	539	876
381	541	875
382	543	875
383	544	874
384	546	872
385	547	871
386	549	871
387	551	870
388	553	869
389	555	868
390	556	867
391	558	866
392	559	864
393	561	863
394	562	862
395	564	860
396	565	859
397	567	858
398	569	857
399	570	856
400	572	855
401	574	853
402	575	852
403	576	851
404	578	849
405	579	848
406	581	847
407	582	845
408	584	844
409	586	843
410	587	842
411	589	840
412	590	839
413	592	838
414	593	836
415	595	835
416	596	833
417	597	832
418	599	831
419	601	830
420	602	828
421	604	827
422	605	825
423	606	824
424	608	822
425	609	821
426	611	820
427	612	818
428	614	817
429	615	816
430	617	814
431	618	813
432	620	812
433	621	810
434	623	809
435	624	807
436	626	806
437	627	805
438	629	804
439	630	802
440	632	801
441	633	800
442	635	798
443	636	797
444	637	795
445	639	794
446	640	792
447	642	791
448	643	790
449	645	788
450	647	787
451	648	786
452	650	785
453	651	783
454	653	782
455	654	780
456	656	779
457	657	778
458	658	776
459	660	775
460	662	774
461	663	773
462	665	771
463	666	770
464	668	768
465	669	767
466	670	765
467	672	764
468	673	762
469	675	761
470	676	760
471	678	758
472	679	757
473	681	755
474	682	754
475	684	753
476	685	751
477	687	750
478	688	748
479	690	747
480	692	746
481	693	745
482	695	744
483	696	742
484	698	741
485	699	739
486	701	738
487	702	737
488	704	735
489	705	734
490	707	733
491	708	731
492	710	730
493	711	728
494	713	727
495	714	726
496	715	724
497	717	723
498	718	721
499	720	720
500	722	719
501	723	717
502	725	716
503	726	715
504	728	713
505	729	712
506	731	711
507	732	709
508	734	708
509	735	706
510	737	705
511	738	704
512	740	702
513	741	701
514	743	699
515	744	698
516	746	697
517	747	695
518	749	694
519	750	692
520	752	691
521	754	690
522	755	689
523	757	687
524	758	686
525	760	685
526	761	683
527	763	682
528	764	680
529	765	679
530	767	678
531	769	676
532	771	675
533	772	674
534	773	672
535	775	671
536	777	670
537	779	669
538	781	668
539	782	666
540	784	665
541	786	664
542	787	662
543	788	661
544	790	659
545	791	658
546	793	657
547	795	655
548	796	654
549	798	653
550	799	651
551	801	650
552	802	649
553	804	647
554	805	646
555	807	644
556	809	643
557	810	642
558	812	640
559	814	639
560	815	638
561	817	636
562	818	635
563	820	634
564	821	632
565	823	631
566	825	630
567	826	628
568	828	627
569	829	626
570	831	624
571	832	623
572	834	621
573	835	620
574	836	618
575	838	617
576	840	615
577	841	614
578	843	613
579	845	612
580	846	610
581	848	609
582	850	607
583	851	606
584	853	605
585	855	604
586	857	603
587	858	601
588	860	600
589	862	599
590	863	597
591	865	596
592	866	594
593	867	593
594	869	591
595	871	590
596	872	589
597	874	587
598	875	586
599	877	584
600	879	583
601	880	582
602	882	580
603	883	579
604	885	578
605	887	576
606	888	575
607	890	573
608	891	572
609	892	570
610	894	569
611	895	567
612	897	566
613	898	565
614	900	563
615	902	562
616	903	561
617	905	559
618	906	558
619	908	556
620	910	555
621	911	554
622	913	552
623	914	551
624	916	550
625	918	548
626	919	547
627	921	545
628	922	544
629	923	542
630	925	541
631	926	539
632	928	538
633	929	536
634	931	535
635	933	534
636	934	532
637	936	531
638	937	529
639	939	528
640	941	527
641	942	525
642	944	524
643	946	523
644	947	521
645	949	520
646	951	518
647	952	517
648	954	516
649	956	514
650	957	513
651	958	511
652	960	510
653	962	509
654	964	507
655	965	506
656	967	505
657	968	503
658	970	502
659	971	500
660	973	499
661	975	497
662	976	496
663	978	495
664	980	493
665	981	492
666	983	490
667	984	489
668	986	487
669	987	486
670	989	484
671	990	483
672	992	482
673	994	480
674	995	479
675	997	477
676	998	476
677	1000	475
678	1001	473
679	1003	472
680	1004	470
681	1006	469
682	1007	467
683	1009	466
684	1010	464
685	1012	463
686	1013	461
687	1015	460
688	1016	458
689	1018	457
690	1019	455
691	1021	454
692	1022	452
693	1024	451
694	1025	450
695	1027	448
696	1028	447
697	1030	445
698	1031	444
699	1032	442
700	1034	441
701	1035	439
702	1037	438
703	1039	436
704	1040	435
705	1042	433
706	1043	432
707	1045	431
708	1046	429
709	1047	428
710	1049	426
711	1050	425
712	1052	423
713	1053	422
714	1055	420
715	1057	419
716	1058	417
717	1060	416
718	1061	414
719	1063	413
720	1064	411
721	1066	410
722	1067	409
723	1069	407
724	1070	406
725	1072	404
726	1073	403
727	1075	401
728	1076	400
729	1078	398
730	1079	397
731	1080	395
732	1082	394
733	1083	392
734	1085	391
735	1087	389
736	1088	388
737	1090	387
738	1091	385
739	1093	384
740	1094	382
741	1096	381
742	1097	379
743	1099	378
744	1100	376
745	1102	375
746	1103	373
747	1104	372
748	1106	370
749	1107	369
750	1109	367
751	1110	366
752	1112	364
753	1113	363
754	1115	361
755	1116	360
756	1118	358
757	1119	357
758	1121	355
759	1122	354
760	1123	352
761	1125	351
762	1126	349
763	1128	348
764	1129	347
765	1131	345
766	1132	344
767	1134	342
768	1135	341
769	1137	339
770	1138	338
771	1140	336
772	1141	335
773	1143	333
774	1144	332
775	1146	330
776	1148	329
777	1149	327
778	1150	326
779	1152	324
780	1153	323
781	1155	322
782	1156	320
783	1158	319
784	1159	317
785	1161	316
786	1163	314
787	1164	313
788	1165	311
789	1167	310
790	1168	308
791	1170	307
792	1171	305
793	1172	304
794	1174	302
795	1176	301
796	1177	300
797	1179	298
798	1180	297
799	1182	295
800	1183	294
801	1185	292
802	1186	291
803	1188	289
804	1189	288
805	1191	286
806	1193	285
807	1194	283
808	1195	282
809	1197	280
810	1198	279
811	1200	277
812	1201	276
813	1203	274
814	1204	273
815	1206	271
816	1207	270
817	1209	269
818	1210	267
819	1211	266
820	1213	264
821	1214	263
822	1216	261
823	1217	260
824	1219	258
825	1221	257
826	1222	255
827	1223	254
828	1225	252
829	1226	251
830	1228	249
831	1229	248
832	1231	246
833	1232	245
834	1233	243
835	1235	242
836	1237	240
837	1238	239
838	1240	237
839	1241	236
840	1243	235
841	1244	233
842	1246	232
843	1247	230
844	1249	229
845	1250	227
846	1252	226
847	1254	224
848	1255	223
849	1256	221
850	1258	220
851	1259	218
852	1261	217
853	1262	215
854	1264	214
855	1265	212
856	1267	211
857	1268	210
858	1269	208
859	1271	206
860	1272	205
861	1274	204
862	1275	202
863	1277	201
864	1278	199
865	1280	198
866	1281	196
867	1283	195
868	1284	193
869	1286	192
870	1288	190
871	1289	189
872	1290	187
873	1292	186
874	1293	184
875	1295	183
876	1296	181
877	1298	180
878	1300	178
879	1301	177
880	1302	176
881	1304	174
882	1306	173
883	1307	171
884	1309	170
885	1310	168
886	1312	167
887	1314	165
888	1315	164
889	1317	162
890	1319	161
891	1320	159
892	1322	158
893	1324	157
894	1325	155
895	1327	154
896	1328	152
897	1330	151
898	1332	149
899	1333	148
900	1334	146
901	1336	145
902	1337	143
903	1339	142
904	1340	140
905	1341	139
906	1343	137
907	1344	136
908	1346	134
909	1347	133
910	1349	131
911	1350	130
912	1351	128
913	1353	127
914	1354	125
915	1356	124
916	1357	122
917	1359	121
918	1360	119
919	1362	118
920	1363	116
921	1365	115
922	1366	113
923	1367	112
924	1369	111
925	1370	109
926	1372	108
927	1373	106
928	1375	105
929	1376	103
930	1378	102
931	1379	100
932	1381	99
933	1382	97
934	1383	96
935	1385	94
936	1386	93
937	1388	91
938	1389	90
939	1391	88
940	1392	87
941	1394	85
942	1395	84
943	1397	82
944	1398	81
945	1400	79
946	1401	78
947	1402	76
948	1404	75
949	1406	74
950	1407	72
951	1409	71
952	1410	69
953	1412	68
954	1413	66
955	1415	65
956	1416	63
957	1418	62
958	1420	60
959	1422	59
960	1423	57
961	1425	56
962	1426	54
963	1428	53
964	1429	51
965	1430	50
966	1432	48
967	1433	47
968	1435	45
969	1437	44
970	1439	42
971	1440	41
972	1441	40
973	1443	38
974	1444	37
975	1446	35
976	1448	34
977	1449	32
978	1451	31
979	1453	29
980	1454	28
981	1455	26
982	1457	25
983	1458	23
984	1460	22
985	1461	20
986	1463	19
987	1464	17
988	1466	16
989	1467	14
990	1469	13
991	1470	11
992	1472	10
993	1473	8
994	1475	7
995	1476	5
996	1478	4
997	1479	2
998	1480	1
999	1482	0
